As,Bs,encodingRate,parameter
"[ [ 0, 1 ], [ 0, 2 ], [ 1, 3 ] ]","[ [ 0, 3 ], [ 1, 1 ], [ 1, 2 ] ]",1/12,"[ 72, 12, 6 ]"
"[ [ 0, 1 ], [ 0, 2 ], [ 1, 3 ] ]","[ [ 0, 3 ], [ 1, 4 ], [ 1, 5 ] ]",1/12,"[ 72, 12, 6 ]"
"[ [ 0, 3 ], [ 1, 1 ], [ 1, 2 ] ]","[ [ 0, 4 ], [ 0, 5 ], [ 1, 3 ] ]",1/12,"[ 72, 12, 6 ]"
"[ [ 0, 3 ], [ 1, 4 ], [ 1, 5 ] ]","[ [ 0, 4 ], [ 0, 5 ], [ 1, 3 ] ]",1/12,"[ 72, 12, 6 ]"
